,Country,Fatal,Injury_type,Activity_type
0,USA,N,no harm,In kayak or canoe
1,USA,N,Minor,Sole cases or undescribed activities
2,USA,N,Lower limbs,Surfing
3,AUSTRALIA,N,Minor,Surfing
4,MEXICO,N,Lower limbs,Diving
5,AUSTRALIA,N,no harm,Surfing
6,BRAZIL,Y,Fatal,Swimming
7,USA,N,Minor,Fishing
8,USA,N,Lower limbs,Sole cases or undescribed activities
9,USA,N,Minor,Sole cases or undescribed activities
10,AUSTRALIA,N,Minor,Shark fishing
11,USA,N,Lower limbs,Surfing
12,USA,N,Severe,Swimming
13,ENGLAND,N,Severe,Fishing
14,AUSTRALIA,N,Minor,Shark fishing
15,SOUTH AFRICA,N,Minor,Surfing
16,AUSTRALIA,N,no harm,Surfing
17,THAILAND,N,Minor,Swimming
18,COSTA RICA,N,no harm,Diving
19,AUSTRALIA,N,no harm,Surfing
20,AUSTRALIA,N,no harm,Surfing
21,AUSTRALIA,N,no harm,Surfing
22,AUSTRALIA,N,no harm,Surfing
23,MALDIVES,N,Upper limbs,Fishing
24,SOUTH AFRICA,N,no harm,In kayak or canoe
25,USA,N,Lower limbs,Surfing
26,THAILAND,N,Lower limbs,Swimming
27,BRAZIL,N,Severe,Swimming
28,AUSTRALIA,N,Lower limbs,Surfing
29,AUSTRALIA,N,Lower limbs,Surfing
30,BAHAMAS,N,no harm,Surfing
31,BRAZIL,N,Lower limbs,Fishing
32,NEW CALEDONIA,N,no harm,Surfing
33,BAHAMAS,N,Lower limbs,Swimming
34,SOUTH AFRICA,N,Lower limbs,Surfing
35,USA,N,Lower limbs,In kayak or canoe
36,AUSTRALIA,N,Minor,Sole cases or undescribed activities
37,AUSTRALIA,N,no harm,Swimming
38,AUSTRALIA,N,Minor,Surfing
39,SOUTH AFRICA,N,Severe,Diving
40,AUSTRALIA,N,Lower limbs,Swimming
41,AUSTRALIA,N,no harm,In kayak or canoe
42,AUSTRALIA,N,Lower limbs,Sole cases or undescribed activities
43,AUSTRALIA,N,no harm,Swimming
44,BRAZIL,N,Minor,Fishing
45,ECUADOR,N,Lower limbs,Diving
46,AUSTRALIA,N,no harm,Swimming
47,AUSTRALIA,N,Lower limbs,Sole cases or undescribed activities
48,NEW CALEDONIA,N,Severe,Swimming
49,AUSTRALIA,N,Severe,Diving
50,AUSTRALIA,N,no harm,Diving
51,BRAZIL,N,Minor,Surfing
52,AUSTRALIA,N,Lower limbs,Surfing
53,USA,N,Severe,Surfing
54,USA,N,Lower limbs,Surfing
55,MALAYSIA,N,Minor,Fishing
56,BAHAMAS,N,Minor,Diving
57,COSTA RICA,N,Lower limbs,Diving
58,COSTA RICA,Y,Fatal,Diving
59,LIBYA,Y,Fatal,Boating
60,USA,N,Lower limbs,Swimming
61,USA,N,Minor,Surfing
62,,N,Lower limbs,Surfing
63,AUSTRALIA,N,Upper limbs,Surfing
64,CUBA,Y,Fatal,Swimming
65,AUSTRALIA,N,Severe,Diving
66,AUSTRALIA,N,Minor,Surfing
67,USA,N,no harm,In kayak or canoe
68,MAURITIUS,N,Minor,Swimming
69,USA,N,Lower limbs,Surfing
70,USA,N,Severe,Swimming
71,AUSTRALIA,N,Minor,In kayak or canoe
72,NEW ZEALAND,N,no harm,In kayak or canoe
73,USA,N,Lower limbs,Swimming
74,USA,N,Upper limbs,Surfing
75,USA,N,Abrasions,Diving
76,SOUTH AFRICA,N,Fatal,Diving
77,USA,N,Lower limbs,Surfing
78,AUSTRALIA,N,no harm,Surfing
79,USA,N,Minor,Surfing
80,USA,N,Upper limbs,Surfing
81,USA,N,Minor,Surfing
82,SPAIN,N,Lower limbs,Surfing
83,USA,N,Lower limbs,Surfing
84,SOUTH AFRICA,N,Fatal,Diving
85,SAMOA,N,Lower limbs,Fishing
86,AUSTRALIA,N,no harm,Fishing
87,USA,N,Lower limbs,Surfing
88,AUSTRALIA,N,Minor,Swimming
89,AUSTRALIA,N,Minor,Surfing
